Parameters,ROUGE Scores
"(4, 20, 35, 1.0)","{'rouge1': np.float64(6.9), 'rouge2': np.float64(2.9), 'rougeL': np.float64(6.6), 'rougeLsum': np.float64(6.8)}"
"(4, 20, 35, 1.2)","{'rouge1': np.float64(6.9), 'rouge2': np.float64(2.9), 'rougeL': np.float64(6.6), 'rougeLsum': np.float64(6.7)}"
"(4, 20, 45, 1.0)","{'rouge1': np.float64(6.3), 'rouge2': np.float64(2.7), 'rougeL': np.float64(6.1), 'rougeLsum': np.float64(6.2)}"
"(4, 20, 45, 1.2)","{'rouge1': np.float64(6.3), 'rouge2': np.float64(2.7), 'rougeL': np.float64(6.1), 'rougeLsum': np.float64(6.2)}"
"(4, 20, 60, 1.0)","{'rouge1': np.float64(6.0), 'rouge2': np.float64(2.6), 'rougeL': np.float64(5.9), 'rougeLsum': np.float64(6.0)}"
"(4, 20, 60, 1.2)","{'rouge1': np.float64(6.0), 'rouge2': np.float64(2.5), 'rougeL': np.float64(5.9), 'rougeLsum': np.float64(5.9)}"
"(4, 30, 35, 1.0)","{'rouge1': np.float64(6.8), 'rouge2': np.float64(2.9), 'rougeL': np.float64(6.5), 'rougeLsum': np.float64(6.6)}"
"(4, 30, 35, 1.2)","{'rouge1': np.float64(6.7), 'rouge2': np.float64(2.8), 'rougeL': np.float64(6.5), 'rougeLsum': np.float64(6.6)}"
"(4, 30, 45, 1.0)","{'rouge1': np.float64(6.0), 'rouge2': np.float64(2.6), 'rougeL': np.float64(5.9), 'rougeLsum': np.float64(5.9)}"
"(4, 30, 45, 1.2)","{'rouge1': np.float64(6.0), 'rouge2': np.float64(2.6), 'rougeL': np.float64(5.9), 'rougeLsum': np.float64(5.9)}"
"(4, 30, 60, 1.0)","{'rouge1': np.float64(5.8), 'rouge2': np.float64(2.4), 'rougeL': np.float64(5.7), 'rougeLsum': np.float64(5.7)}"
"(4, 30, 60, 1.2)","{'rouge1': np.float64(5.8), 'rouge2': np.float64(2.4), 'rougeL': np.float64(5.7), 'rougeLsum': np.float64(5.7)}"
"(6, 20, 35, 1.0)","{'rouge1': np.float64(6.5), 'rouge2': np.float64(2.7), 'rougeL': np.float64(6.3), 'rougeLsum': np.float64(6.4)}"
"(6, 20, 35, 1.2)","{'rouge1': np.float64(6.5), 'rouge2': np.float64(2.7), 'rougeL': np.float64(6.3), 'rougeLsum': np.float64(6.4)}"
"(6, 20, 45, 1.0)","{'rouge1': np.float64(6.2), 'rouge2': np.float64(2.7), 'rougeL': np.float64(6.1), 'rougeLsum': np.float64(6.1)}"
"(6, 20, 45, 1.2)","{'rouge1': np.float64(6.2), 'rouge2': np.float64(2.7), 'rougeL': np.float64(6.1), 'rougeLsum': np.float64(6.1)}"
"(6, 20, 60, 1.0)","{'rouge1': np.float64(6.3), 'rouge2': np.float64(2.6), 'rougeL': np.float64(6.1), 'rougeLsum': np.float64(6.2)}"
"(6, 20, 60, 1.2)","{'rouge1': np.float64(6.1), 'rouge2': np.float64(2.5), 'rougeL': np.float64(6.0), 'rougeLsum': np.float64(6.1)}"
"(6, 30, 35, 1.0)","{'rouge1': np.float64(6.5), 'rouge2': np.float64(2.7), 'rougeL': np.float64(6.3), 'rougeLsum': np.float64(6.4)}"
"(6, 30, 35, 1.2)","{'rouge1': np.float64(6.5), 'rouge2': np.float64(2.7), 'rougeL': np.float64(6.3), 'rougeLsum': np.float64(6.4)}"
"(6, 30, 45, 1.0)","{'rouge1': np.float64(5.6), 'rouge2': np.float64(2.4), 'rougeL': np.float64(5.5), 'rougeLsum': np.float64(5.5)}"
"(6, 30, 45, 1.2)","{'rouge1': np.float64(5.6), 'rouge2': np.float64(2.4), 'rougeL': np.float64(5.5), 'rougeLsum': np.float64(5.5)}"
"(6, 30, 60, 1.0)","{'rouge1': np.float64(6.0), 'rouge2': np.float64(2.5), 'rougeL': np.float64(5.9), 'rougeLsum': np.float64(5.9)}"
"(6, 30, 60, 1.2)","{'rouge1': np.float64(5.8), 'rouge2': np.float64(2.4), 'rougeL': np.float64(5.7), 'rougeLsum': np.float64(5.7)}"
"(8, 20, 35, 1.0)","{'rouge1': np.float64(6.6), 'rouge2': np.float64(2.7), 'rougeL': np.float64(6.4), 'rougeLsum': np.float64(6.5)}"
"(8, 20, 35, 1.2)","{'rouge1': np.float64(6.6), 'rouge2': np.float64(2.7), 'rougeL': np.float64(6.4), 'rougeLsum': np.float64(6.5)}"
"(8, 20, 45, 1.0)","{'rouge1': np.float64(6.1), 'rouge2': np.float64(2.6), 'rougeL': np.float64(6.0), 'rougeLsum': np.float64(6.1)}"
"(8, 20, 45, 1.2)","{'rouge1': np.float64(6.1), 'rouge2': np.float64(2.6), 'rougeL': np.float64(6.0), 'rougeLsum': np.float64(6.0)}"
"(8, 20, 60, 1.0)","{'rouge1': np.float64(6.4), 'rouge2': np.float64(2.8), 'rougeL': np.float64(6.3), 'rougeLsum': np.float64(6.4)}"
"(8, 20, 60, 1.2)","{'rouge1': np.float64(6.3), 'rouge2': np.float64(2.7), 'rougeL': np.float64(6.1), 'rougeLsum': np.float64(6.2)}"
"(8, 30, 35, 1.0)","{'rouge1': np.float64(6.6), 'rouge2': np.float64(2.7), 'rougeL': np.float64(6.4), 'rougeLsum': np.float64(6.5)}"
"(8, 30, 35, 1.2)","{'rouge1': np.float64(6.6), 'rouge2': np.float64(2.7), 'rougeL': np.float64(6.4), 'rougeLsum': np.float64(6.5)}"
"(8, 30, 45, 1.0)","{'rouge1': np.float64(6.0), 'rouge2': np.float64(2.5), 'rougeL': np.float64(5.8), 'rougeLsum': np.float64(5.9)}"
"(8, 30, 45, 1.2)","{'rouge1': np.float64(5.9), 'rouge2': np.float64(2.4), 'rougeL': np.float64(5.7), 'rougeLsum': np.float64(5.8)}"
"(8, 30, 60, 1.0)","{'rouge1': np.float64(6.2), 'rouge2': np.float64(2.7), 'rougeL': np.float64(6.1), 'rougeLsum': np.float64(6.2)}"
"(8, 30, 60, 1.2)","{'rouge1': np.float64(5.9), 'rouge2': np.float64(2.5), 'rougeL': np.float64(5.8), 'rougeLsum': np.float64(5.9)}"
